,Car,Make,Model,Year,Price,Milage,MPG,Expected Car Life (Yr),Gas Cost Per Year,Loan,Cost Per Mile,Cost Per Year,Views Count,Favorite Count,Favorite to Views Ratio,Link,Description
2725,1995 Cadillac Eldorado ESC        ,Cadillac,Eldorado,1995,1250.0,136000,18.0,1.4191176470588236,1069.4444444444446,0.0,0.043244804432189546,1950.273459988486,475.0,6.0,0.01263157894736842,https://cars.ksl.com/listing/6080084?ad_cid=12,       OBO  COME AND GET IT    Great older car ready for some new love  starts  rides nice  has a transmission shimmy  comfy seats  north star 4 6L V8 engine has plenty of power but still gets decent gas mileage   Would be great for high schoolers  or as a commuter car  has good sound from the stereo  Come check it out      
3285,1994 Ford F-150 XLT        ,Ford,F-150,1994,1200.0,150000,15.0,1.2866666666666666,1283.3333333333335,0.0,0.057024444444444454,2215.9758203799656,2304.0,28.0,0.012152777777777778,https://cars.ksl.com/listing/5827026?ad_cid=17,       May be better suited for parts  Got hit in on the left door and body panel  It runs and drives like  Jack the bear  Door will not open  but glass goes up down  Very little rust on bed  manual trans case and locking hubs                   open to offers trades  Please no email or text  Thanks  Hal 435 722 1968 or 435 213 5512    
2896,2012 Hyundai Sonata 2.0T Limited        ,Hyundai,Sonata,2012,10500.0,77292,28.0,2.497024271593438,687.5,6500.0,0.10184929749856682,5005.046903079922,49.0,1.0,0.02040816326530612,https://cars.ksl.com/listing/6116178?ad_cid=9,       Good car not too many miles willing to go down a lil on price new wheels and tires about 2000 to 2500 miles ago    
529,2006 Honda Ridgeline RTL        ,Honda,Ridgeline,2006,7500.0,155337,17.0,1.2424599419327012,1132.3529411764705,3500.0,0.20281264836179022,7290.554011497687,43.0,1.0,0.023255813953488372,https://cars.ksl.com/listing/6146568?ad_cid=24,       This vehicle is in great shape  I purchased it in 2012 from my mother in law  who was the original owner  It has had regular maintenance with records available upon request  The only issue is the suspension  The ride is starting to get rough and may need to be addressed  Please call 208 420 2065 ext 4 if you have any questions or would like to set a time to test drive     
460,2013 Nissan Maxima SV        ,Nissan,Maxima,2013,1200.0,59021,22.0,3.27002253435218,875.0,0.0,0.02880762182706756,1241.9699481865284,1366.0,51.0,0.03733528550512445,https://cars.ksl.com/listing/6089643?ad_cid=19,       This is a one owner 2013 Nissan Maxima with every possible option available   Navigation  heated and cooled drivers seat  heated passenger seat  heated steering wheel  electric driver and passenger seats  heated mirrors  blue tooth  answer your phone hands free   AM FM XM Sirius radio  sunroof in front   moon roof in back  automated rear sun deflector  I ve never seen this on another car   clear bra  WeatherTech winter front mats and carpet mats for the summer  leather seats  of course   optional trunk wing  3 6 liter V6  gets around 20 mpg in town and I ve gotten as high as 28 on the highway   FWD   Michelins are 60 000 mile rated tires with 30 000 miles  no accidents and a clear title     
3353,2004 Toyota Tacoma SR5        ,Toyota,Tacoma,2004,11500.0,149000,18.0,1.2953020134228188,1069.4444444444446,7500.0,0.2590099354581151,10198.012951016668,1533.0,35.0,0.0228310502283105,https://cars.ksl.com/listing/6105887?ad_cid=12,       More Pictures coming soon Up for sale is my SAS s double cab 2004 Toyota Tacoma  I hate to get rid of this amazing truck but I drive a lot more than I off road and unfortunately can no longer justify having it and it isnt getting the use it deserves any more  It was given a solid axle swap early on in its life managing to give it more strength  durability  articulation  and simplicity  2004 was the last year of the first generation body style before they bulked it up  really meaning this guy is a bit more nimble on the trails and narrow enough to avoid most rocky mountain pinstriping   This little guy has only 14 000 miles on him  making him a bit of a youngster  just getting broken in considering the miles he has left  He is Dead reliable on and off road  I have never even been close to taking it to its limits  This truck has never let me down and has been maintained religiously  although for this truck that has just been gas  grease and oil  All belts were changed at 80 000 miles  and again at 130 000 and a few years ago the suspension and handling were freshened up with new ball joints  a new carrier bearing  and new brake pads  Earlier this year the front leafs were replaced as well as new brake calipers   This guy is clean inside and out and well taken care of  He was built for the mountains and not the mall  but has always served great as a daily driver as well as a weekend warrior  He has taken me and my friends on many adventures  A few Key points or details below  but feel free to contact me about any specific questions you have  Title is held by the bank  3 4 v6 Magnaflow cat back exhaust Factory bed liner Mild stereo upgrade with 10in sub  pioneer speakers and deck Optima Yellow top battery Narrowed Ford reverse cut high pinion Dana 44 up front  Warn Hubs with Chevy parts from the knuckles out  Stock rear axle with factory e locker Bilstein 5100 s with all pro leafs TRD and SR5 versions  not much else you could get from the factory in this truck Currently sitting on 33  Nitto Trail Grappler tires with some good life left in them Re enforced frame  The Bad  There is a crack in the front window A rear Differential leak Some surface rust on the frame and sliders   I started stripping the sliders and eventually the frame so that I can repaint them  I will continue to work on this when I have time or until the truck sells  The tent will be sold separately because I am not quite sure that I want to get rid of the tent yet   Key words  TRD  SAS  Tacoma  Lift  double cab  Jeep  off road  off road  crawler    
3331,2011 Honda Odyssey EX        ,Honda,Odyssey,2011,8000.0,96733,21.0,1.9951826160669057,916.6666666666666,4000.0,0.0968542944023867,5013.000985227043,316.0,17.0,0.05379746835443038,https://cars.ksl.com/listing/6120303?ad_cid=8,       This is a great van  This has been our family vehicle for five years  We have had ZERO issues with this van and it has been regularly maintained and well taken care of  If you have small children and don t have a minivan  trust me you should  The rebuild on this van is in the back but we have had no issues stemming from it  Come get this van at a discounted price over other vans  Call or text if you have questions     
3046,1997 Honda Civic EX        ,Honda,Civic,1997,1900.0,157000,30.0,1.2292993630573248,641.6666666666667,0.0,0.06253024243321977,2187.2625215889466,781.0,30.0,0.03841229193341869,https://cars.ksl.com/listing/6024944?ad_cid=6,       Reduced price  2000  Great little car with low miles has had time belt kit done and distributor  Has lots of life left  2200 obo call or text is best    
1099,2012 Kia Optima        ,Kia,Optima,2012,7900.0,111200,28.0,1.735611510791367,687.5,3900.0,0.10430005135258168,5336.358109244295,88.0,3.0,0.03409090909090909,https://cars.ksl.com/listing/6140956?ad_cid=18,       Clean title  great condition inside and out  Very clean  New tires just a few months ago  All the options  TURBO  leather  heated front and rear seats  cooled front seats  sunroof and rear moon roof  navigation system  Bluetooth connection  and hands free phone  infinity speakers sound awesome  This car has been babied and well maintained  Very reliable and fun to drive  Turbo is fast but maintains great gas mileage   Had a tear in the drivers seat  but I had it professionally repaired  Other than that  there is nothing wrong with it   Blue books at over  10 000  but I m listing is lower because I need to sell it quickly   Text is preferred 801 652 7504  I m in bountiful     
1315,2014 Toyota Prius III        ,Toyota,Prius,2014,11000.0,85000,50.0,2.2705882352941176,385.0,7000.0,0.10588532833974458,5362.844997518152,91.0,7.0,0.07692307692307693,https://cars.ksl.com/listing/6138484?ad_cid=6,       Reduced to Sell   50 MPH average with new Michelin tires   400    Included  500 Viper remote starter   Bought another car and ready to sell   This has been a great car   Solid  quiet ride   Bought from the dealer who took it in from a lease   Dealer serviced entire time every 5 000 miles   I have all the service records     
